id_categoria;url_categoria;nombre_categoria;xpath_categoria;id_sitioweb
1;https://diario.elmundo.sv/editorial;Editorial;/html/body/header/div[1]/div[2]/div[3]/div[1]/div[1]/div/nav/ul/li[2]/a/@href;1
2;https://diario.elmundo.sv/politica;Politica;/html/body/header/div[1]/div[2]/div[3]/div/div[1]/div/nav/ul/li[3]/a/@href;1
3;https://diario.elmundo.sv/economia;Economia;/html/body/header/div[1]/div[2]/div[3]/div/div[1]/div/nav/ul/li[4]/a/@href;1
4;https://www.laprensagrafica.com/seccion/elsalvador/politica;Politica;"//*[@id=""__next""]/nav/ul[1]/li[4]/a/@href";2
5;https://www.laprensagrafica.com/seccion/elsalvador/judicial;Judicial;"//*[@id=""__next""]/nav/ul[1]/li[5]/a/@href";2
6;https://www.laprensagrafica.com/seccion/deportes;Deportes;"//*[@id=""__next""]/nav/ul[1]/li[10]/a/@href";2
7;https://www.laprensagrafica.com/seccion/economia;Economia;"//*[@id=""__next""]/nav/ul[1]/li[11]/a/@href";2
8;https://www.elsalvador.com/category/noticias/nacional/;Nacional;/html/body/header/div[2]/div[2]/ul[1]/li/div/ul/li[2]/ul/li[1]/a/@href;3
9;https://www.elsalvador.com/category/noticias/internacional/;Internacional;/html/body/header/div[2]/div[2]/ul[1]/li/div/ul/li[2]/ul/li[2]/a/@href;3
10;https://www.elsalvador.com/category/noticias/negocios/;Negocios;/html/body/header/div[2]/div[2]/ul[1]/li/div/ul/li[2]/ul/li[3]/a/@href;3
11;https://elfaro.net/es/columnas/?author=Defensor;Defensor;/html/body/div[12]/div/div[4]/section/article/div[2]/div/div/div/div/div/div/div/div[1]/div/div/div/div[1]/ul/li[11]/a/@href;4
12;https://elfaro.net/es/el_salvador;Nacional;/html/body/div[12]/div/div[4]/section/article/div[2]/div/div/div/div/div/div/div/div[1]/div/div/div/div[1]/ul/li[2]/a/@href;4
13;https://elfaro.net/es/columnas;Columnas;/html/body/div[12]/div/div[4]/section/article/div[2]/div/div/div/div/div/div/div/div[1]/div/div/div/div[1]/ul/li[6]/a/@href;4
14;https://www.diariocolatino.com/category/nacionales/;Nacional;/html/body/div[1]/div[2]/div/header/nav/div/div/ul/li[2]/a/@href;5
15;https://www.diariocolatino.com/category/mundo/;Internacional;/html/body/div[1]/div[2]/div/header/nav/div/div/ul/li[3]/a/@href;5
16;https://www.diariocolatino.com/category/deportes/;Deportes;/html/body/div[1]/div[2]/div/header/nav/div/div/ul/li[4]/a/@href;5
17;https://www.diariocolatino.com/category/economia/;Economia;/html/body/div[1]/div[2]/div/header/nav/div/div/ul/li[5]/a/@href;5
18;https://www.latribuna.hn/seccion/deportes/;Deportes;/html/body/div[2]/footer/div/div[3]/div/div[1]/ul/li[5]/a/@href;6
19;https://www.latribuna.hn/seccion/economicas/;Economia;/html/body/div[2]/footer/div/div[3]/div/div[1]/ul/li[6]/a/@href;6
20;https://www.latribuna.hn/seccion/internacionales/;Internacional;/html/body/div[2]/footer/div/div[3]/div/div[1]/ul/li[7]/a/@href;6
21;https://www.contrapunto.com.sv/internacionales/;Internacional;/html/body/div[6]/div[1]/div[3]/div/div/div[5]/div/div[2]/div/div/div/div[3]/ul/li[3]/a/@href;7
22;https://www.contrapunto.com.sv/politica/;Politica;/html/body/div[6]/div[1]/div[3]/div/div/div[5]/div/div[2]/div/div/div/div[3]/ul/li[4]/a/@href;7
23;https://www.contrapunto.com.sv/deportes/;Deportes;/html/body/div[6]/div[1]/div[3]/div/div/div[5]/div/div[2]/div/div/div/div[3]/ul/li[8]/a/@href;7
24;https://www.contrapunto.com.sv/economia/;Economia;/html/body/div[6]/div[1]/div[3]/div/div/div[5]/div/div[2]/div/div/div/div[3]/ul/li[6]/a/@href;7
25;https://www.elindependiente.sv/category/opinion/;Opinion;"//*[@id=""menu-item-232""]/a/@href";8
26;https://www.elindependiente.sv/category/ciencia/;Ciencia;"//*[@id=""menu-item-236""]/a/@href";8
27;https://www.elindependiente.sv/category/cultura/;Cultura;"//*[@id=""menu-item-233""]/a";8
28;https://www.elindependiente.sv/category/internacionales/;Internacional;"//*[@id=""menu-item-234""]/a/@href";8
29;https://www.elsalvadortimes.com/blog/section/politicos;Politica;/html/body/div[2]/div[2]/nav/div[2]/div[2]/div/ul/li[4]/a/@href;9
30;https://www.elsalvadortimes.com/blog/section/servicios;Servicios;/html/body/div[2]/div[2]/nav/div[2]/div[2]/div/ul/li[5]/a/@href;9
31;https://www.elsalvadortimes.com/blog/section/judiciales;Judicial;/html/body/div[2]/div[2]/nav/div[2]/div[2]/div/ul/li[6]/a/@href;9
32;https://www.elsalvadortimes.com/blog/section/internacional;Internacional;/html/body/div[2]/div[2]/nav/div[2]/div[2]/div/ul/li[8]/a/@href;9
33;https://elblog.com/category/internacionales/;Internacional;/html/body/div[1]/div[1]/nav/ul/li[3]/a;10
34;https://elblog.com/category/politica/;Politica;/html/body/div[1]/div[1]/nav/ul/li[4]/a;10
35;https://elblog.com/category/deportes/;Deportes;/html/body/div[1]/div[1]/nav/ul/li[5]/a;10
36;https://elblog.com/category/entretenimiento/;Entretenimiento;/html/body/div[1]/div[1]/nav/ul/li[6]/a;10
37;http://diario1.com/politica/;Politica;/html/body/div[3]/div[2]/div/div/div/div/ul/li[4]/a/@href;11
38;http://diario1.com/nacionales/;Nacional;/html/body/div[3]/div[2]/div/div/div/div/ul/li[5]/a/@href;11
39;http://diario1.com/zona-deportiva/;Deportes;/html/body/div[3]/div[2]/div/div/div/div/ul/li[6]/a/@href;11
40;https://lapagina.com.sv/seccion/internacionales/;Internacional;/html/body/div[1]/div[1]/div[2]/div[3]/div/div/div[2]/div/div/div/ul/li[2]/a/@href;12
41;https://lapagina.com.sv/seccion/cultura/;Cultura;/html/body/div[1]/div[1]/div[2]/div[3]/div/div/div[2]/div/div/div/ul/li[6]/a/@href;12
42;https://lapagina.com.sv/seccion/nacionales/;Nacional;/html/body/div[1]/div[1]/div[2]/div[3]/div/div/div[2]/div/div/div/ul/li[1]/a/@href;12
43;https://lapagina.com.sv/seccion/deportes/;Deportes;/html/body/div[1]/div[1]/div[2]/div[3]/div/div/div[2]/div/div/div/ul/li[7]/a/@href;12
44;https://gatoencerrado.news/seccion-politica-y-transparencia1/;Politica;/html/body/div[1]/div[3]/nav/div/ul/li[1]/div/ul/li[1]/a/@href;13
45;https://gatoencerrado.news/genero1/;Genero;/html/body/div[1]/div[3]/nav/div/ul/li[1]/div/ul/li[4]/a/@href;13
46;https://gatoencerrado.news/seccion-ojo-con-mi-ambiente/;Ambiente;/html/body/div[1]/div[3]/nav/div/ul/li[1]/div/ul/li[5]/a/@href;13
