id_noticia;url_noticia;xpath_fecha;xpath_titulo;xpath_contenido;id_sitioweb
1;https://diario.elmundo.sv/editorial/un-conflicto-que-jamas-debe-repetirse;/html/body/main/div[3]/div/div/div/div[2]/time;/html/body/main/div[3]/div/div/div/h1;/html/body/main/div[5]/div/div[1]/div;1
2;https://diario.elmundo.sv/politica/ministro-dice-cancelo-deuda-politica-2021-fmln-responde-que-es-falso-e-inedito;/html/body/main/div[3]/div/div/div/div[2]/time;/html/body/main/div[3]/div/div/div/h1;/html/body/main/div[5]/div/div[1]/div;1
3;https://diario.elmundo.sv/economia/cid-gallup-62-de-salvadorenos-consideran-que-su-economia-estara-bien-en-proximos-12-meses;/html/body/main/div[3]/div/div/div/div[2]/time;/html/body/main/div[3]/div/div/div/h1;;1
4;https://www.laprensagrafica.com/elsalvador/Despedidos-de-Soyapango-exigen-apoyo-de-las-autoridades-20230706-0037.html;/html/body/div[2]/main/div/article/div[4]/div/div[1]/div[2]/div[1]/div/time;/html/body/div[2]/main/div/article/div[3]/header/h1;/html/body/div[2]/main/div/article/div[4]/div/div[1]/div[2]/div[4]/div[3]/div[1];2
5;https://www.laprensagrafica.com/elsalvador/Confirman-cinco-muertes-de-privados-de-libertad-en-el-regimen-de-excepcion-y-mas-traslados-al-CECOT-20230706-0078.html;/html/body/div[2]/main/div/article/div[4]/div/div[1]/div[2]/div[1]/div/time;/html/body/div[2]/main/div/article/div[3]/header/h1/text();/html/body/div[2]/main/div/article/div[4]/div/div[1]/div[2]/div[4]/div[3]/div[1];2
6;https://www.laprensagrafica.com/deportes/Gabriella-Izaguirre-gana-oro-en-Karate-Do-de-los-Juegos-San-Salvador-2023-20230706-0067.html;/html/body/div[2]/main/div/article/div[4]/div/div[1]/div[2]/div[1]/div/time;/html/body/div[2]/main/div/article/div[3]/header/h1;/html/body/div[2]/main/div/article/div[4]/div/div[1]/div[2]/div[4]/div[3]/div[1];2
7;https://www.laprensagrafica.com/economia/La-inversion-extranjera-aumento-51-en-A.-Latina-20230705-0088.html;/html/body/div[2]/main/div/article/div[4]/div/div[1]/div[2]/div[1]/div/time;/html/body/div[2]/main/div/article/div[3]/header/h1;/html/body/div[2]/main/div/article/div[4]/div/div[1]/div[2]/div[4]/div[3]/div[1];2
8;https://www.elsalvador.com/noticias/nacional/trafico-de-drogas-cocaina-fiscalia-general-pnc-tribunales-/1073761/2023/;/html/body/main/article[1]/p[2]/span;/html/body/main/article[1]/h1;/html/body/main/article[1]/div[3];3
9;https://www.elsalvador.com/noticias/internacional/daniel-ortega-dictadores-regimen-politico-persecucion-politica-prision-crisis-en-nicaragua-/1073536/2023/;/html/body/main/article[1]/p[2]/span;/html/body/main/article[1]/h1/text();/html/body/main/article[1]/div[3];3
10;https://www.elsalvador.com/noticias/negocios/transporte-aereo-mundial-cerca-alcanzar-trafico-prepandemia/1073692/2023/;/html/body/main/article[1]/p[2]/span;/html/body/main/article[1]/h1/text();/html/body/main/article[1]/div[3];3
